Orthodontic Centers of California,"4.8
(309)","
17745 Chatsworth St, Granada Hills, CA 91344, United States",https://www.google.com/maps/place/Orthodontic+Centers+of+California/data=!4m7!3m6!1s0x80c29ac2957898e3:0x2f0e73b2b0e8ed27!8m2!3d34.2651544!4d-118.5213688!16s%2Fg%2F1wrtd395!19sChIJ45h4lcKawoARJ-3osLJzDi8?authuser=0&hl=en&rclk=1,"
+1 818-366-9200",https://www.occsmiles.com/
Lee and Lee Orthodontics,,"
3501 California St #202, San Francisco, CA 94118, United States",https://www.google.com/maps/place/Lee+and+Lee+Orthodontics/data=!4m7!3m6!1s0x80858733f76a180b:0x9556af6fac546afa!8m2!3d37.7864!4d-122.451584!16s%2Fg%2F1tcx1rln!19sChIJCxhq9zOHhYAR-mpUrG-vVpU?authuser=0&hl=en&rclk=1,"
+1 415-751-1700",https://www.leeandleeortho.com/
Beverly Hills Orthodontics,"5.0
(144)","
740 S Olive St #105, Los Angeles, CA 90014, United States",https://www.google.com/maps/place/Beverly+Hills+Orthodontics/data=!4m7!3m6!1s0x80c2c7b598fd908d:0x4f94a4d629c531a8!8m2!3d34.0454836!4d-118.2561031!16s%2Fg%2F11fzw2315p!19sChIJjZD9mLXHwoARqDHFKdaklE8?authuser=0&hl=en&rclk=1,"
+1 310-785-0770",https://www.beverlyhillsortho.com/locations/dtla
Beverly Hills Orthodontics,"4.9
(45)","
2080 Century Park E UNIT 505, Los Angeles, CA 90067, United States",https://www.google.com/maps/place/Beverly+Hills+Orthodontics/data=!4m7!3m6!1s0x80c2bbf24adbb6d3:0xdd9ee7d292f8de35!8m2!3d34.0593428!4d-118.4112215!16s%2Fg%2F1thlnbcj!19sChIJ07bbSvK7woARNd74ktLnnt0?authuser=0&hl=en&rclk=1,"
+1 310-785-0770",https://www.beverlyhillsortho.com/locations/century-city
Sylmar Orthodontics,,"
13910 Foothill Blvd B, Sylmar, CA 91342, United States",https://www.google.com/maps/place/Sylmar+Orthodontics/data=!4m7!3m6!1s0x80c28e2c626e4d53:0x2b104ebf060ef3b!8m2!3d34.3120364!4d-118.4366461!16s%2Fg%2F11bwh59h8t!19sChIJU01uYiyOwoARO-9g8OsEsQI?authuser=0&hl=en&rclk=1,"
+1 818-336-6962",http://www.sylmarortho.com/
Ryan Boyer Orthodontist - Murrieta,"5.0
(557)","
40680 California Oaks Rd STE 1B, Murrieta, CA 92562, United States",https://www.google.com/maps/place/Ryan+Boyer+Orthodontist+-+Murrieta/data=!4m7!3m6!1s0x80dc825b76a65c79:0x873540dc0ed5a118!8m2!3d33.57081!4d-117.204085!16s%2Fg%2F1v9gvr_r!19sChIJeVymdluC3IARGKHVDtxANYc?authuser=0&hl=en&rclk=1,"
+1 951-600-7923",http://www.boyerortho.com/
Family Orthodontics & Oral Surgery,,"
535 E Main St Suite A, Tustin, CA 92780, United States",https://www.google.com/maps/place/Family+Orthodontics+%26+Oral+Surgery/data=!4m7!3m6!1s0x80dcdbc21684e65d:0x526d5834d9a3bacb!8m2!3d33.7423321!4d-117.8185616!16s%2Fg%2F1tgfqf23!19sChIJXeaEFsLb3IARy7qj2TRYbVI?authuser=0&hl=en&rclk=1,"
+1 714-544-0200",http://www.tustinorthodontics.com/
New Smile Orthodontics,"5.0
(1,266)","
2435 Naglee Rd #7c, Tracy, CA 95304, United States",https://www.google.com/maps/place/New+Smile+Orthodontics/data=!4m7!3m6!1s0x8090180aedb47bd1:0x390b56b4ff0e0e22!8m2!3d37.7554686!4d-121.4667438!16s%2Fg%2F1thcm__h!19sChIJ0Xu07QoYkIARIg4O_7RWCzk?authuser=0&hl=en&rclk=1,"
+1 209-830-9984",https://www.newsmileortho.com/
Santa Ana Orthodontics,"5.0
(934)","
2435 Naglee Rd #7c, Tracy, CA 95304, United States",https://www.google.com/maps/place/Santa+Ana+Orthodontics/data=!4m7!3m6!1s0x80dcd91ab9f6d673:0x8e476811aa46d3f5!8m2!3d33.7388919!4d-117.8674738!16s%2Fg%2F1yfh_jsf6!19sChIJc9b2uRrZ3IAR9dNGqhFoR44?authuser=0&hl=en&rclk=1,"
+1 657-231-4104",https://www.saorthodontics.com/
Orthodontic Centers of California,"4.9
(341)","
715 S Main St, Santa Ana, CA 92701, United States",https://www.google.com/maps/place/Orthodontic+Centers+of+California/data=!4m7!3m6!1s0x80c28887b5025b07:0x750a74840002429a!8m2!3d34.4159971!4d-118.4764054!16s%2Fg%2F1ttpbkmq!19sChIJB1sCtYeIwoARmkICAIR0CnU?authuser=0&hl=en&rclk=1,"
+1 661-252-7641",http://www.occsmiles.com/
